name,population,advertising,sales
Oakdale,272552,"$725,233.92",53496
Fortley,637673,"$832,206.87",48705
Norness,388989,"$986,068.35",71993
Farmhampton,801065,"$2,502,728.35",180072
Dodgedol,354370,"$937,385.75",77337
Reddale,214961,"$696,761.48",47886
Auhampton,810277,"$2,833,639.31",247225
Weirborough,191458,"$543,950.11",40156
Southbrough,589821,"$731,589.57",46217
Richford,429014,"$1,244,221.20",94820
Northside,589769,"$519,478.47",6022
Riverford,271986,"$846,795.77",67993
Riverton,396499,"$1,322,880.08",108612
Strongtown,277059,"$330,724.84",10734
Sagebury,614132,"$1,301,276.70",76364
Sugarburg,298414,"$1,125,578.03",106162
Lunby,258383,"$964,034.41",87613
Middleworth,286128,"$531,899.49",23526
Castercester,251120,"$934,589.07",107915
Backpool,301408,"$494,249.34",27109
Valenfield,120005,"$526,788.57",66969
Normouth,148952,"$496,597.50",41070
Parkwich,653884,"$1,902,014.74",165824
Hamstead,460226,"$1,252,823.71",73821
Bannville,,"$429,878.89",13796
Kettletown,120192,"$579,965.56",79476
Wheelburgh,554288,"$2,602,585.61",286304
Saltmouth,265761,"$829,894.81",50432
Greenborough,217692,"$746,478.56",64145
Redcaster,279515,"$687,818.42",32588
Kettleworth,219626,"$471,528.77",27327
Foxham,202203,"$277,561.49",10380
Kettledale,595174,"$942,942.43",31132
Waterview,282515,"$821,269.42",55055
Kingmouth,355586,"$921,869.45",53593
Foxville,247632,"$929,512.97",89279
Postside,148717,"$423,924.10",21203
Saygrad,373126,"$854,243.47",40708
Skillgrad,510325,"$1,567,081.05",132614
Hardcaster,307077,"$715,653.44",57909
Fayworth,178489,"$415,257.35",22298
Bellgrad,142127,"$351,553.37",28843
Waterfield,545688,"$1,454,470.21",93073
Faystead,135091,"$395,253.48",29657
Griffinness,386767,"$977,237.19",58777
Backfield,568915,"$1,564,652.79",101630
,203307,"$602,048.78",38748
Hogcester,172315,"$515,070.26",41200
Dodgeland,145745,"$410,785.32",30557
Lexingby,230193,"$783,284.31",68732
Postley,143891,"$327,491.72",23105
Middledale,369677,"$626,720.73",36205
Beachborough,120740,"$335,430.27",28253
Lunaburg,318348,"$429,935.26",15997
Southingfield,416589,"$1,201,435.07",107585
Fishcaster,438353,"$1,370,709.80",104722
Hapcester,400958,"$613,709.36",15421
Springburg,427442,"$791,379.31",31094
Passwich,753860,"$3,423,696.32",361545
Kingland,514179,"$2,197,107.32",234476
Westdale,291367,"$609,494.86",32964
Roseland,261248,"$878,432.46",73877
Kingdol,565522,"$2,206,255.69",190201
Skillpool,75617,"$192,574.71",16103
Sagecaster,319523,"$773,009.49",41935
Appleworth,204978,"$753,418.43",72572
Fairburg,110455,"$429,221.24",47963
Melville,839709,"$2,696,391.74",236422
Winterpool,927494,"$1,874,898.41",77245
Hogstead,521879,"$1,523,873.10",117508
Richness,286206,"$1,076,097.56",96017
Cloudton,94406,"$303,604.61",30182
Seawich,358845,"$549,081.10",18502
,292661,"$771,637.88",62685
Sandstead,149292,"$476,575.40",41275
Eastmouth,198455,"$847,518.72",81603
Aeldol,508270,"$1,203,579.17",69969
Kettlewich,122585,"$301,440.83",18975
Hapdol,609657,"$2,357,810.11",246971
Melfield,595597,"$2,307,467.14",244613
Hosburg,684476,"$3,799,964.90",603733
Watercester,223611,"$743,784.43",66087
Rockbury,240094,"$611,594.15",47874
Facthampton,347925,"$1,520,714.24",-169320
Norstead,621034,"$2,502,391.98",254878
Sandville,180357,"$407,530.45",19554
Faybury,461304,"$1,296,092.98",63497
Queenswich,362643,"$1,680,767.21",205981
Gilmouth,529348,"$2,403,643.69",291703
Auwich,421804,"$1,233,675.33",91609
Southcester,218987,"$1,020,308.56",123601
Bayland,93763,"$285,512.29",27499
Wingley,385454,"$1,080,179.23",79899
Clouddale,628689,"$1,963,990.44",130043
Southingmouth,170442,"$237,320.37",11080
Massborough,270830,"$948,139.62",92326
Highley,364556,"$774,739.98",45770
Sweethampton,224999,"$747,503.38",67290
Sweetby,210411,"$695,827.30",68214
Proness,341534,"$898,902.67",55564
Lawness,488016,"$1,368,312.69",103062
Dodgeburg,214233,"$647,988.47",49613
Appletown,334925,"$270,637.91",7717
Windol,625549,"$2,038,478.43",170123
Fairley,417952,"$1,432,360.56",128596
Princeport,408634,"$1,287,890.39",106419
Fauxness,305767,"$873,135.19",45315
Millhampton,581336,"$1,207,386.94",63161
Princecaster,205063,"$397,549.27",24991
Banngrad,463006,"$1,340,579.67",96056
Middleport,597064,"$1,455,489.03",83243
Goldhampton,642363,"$1,713,902.50",113964
Jamestown,195169,"$694,621.62",71340
Middleview,220398,"$868,293.76",79234
Sagedol,337728,"$831,976.95",41076
Bannbrough,262807,"$710,138.58",44856
Appleburgh,332946,"$986,115.26",76741
Holtsbury,114327,"$432,241.73",45589
Sandton,544043,"$1,785,947.00",135129
Angerham,420214,"$1,007,974.13",73625
Lunhampton,269562,"$1,158,950.45",114942
Princeview,655464,"$2,521,707.35",307794
Winpool,410333,"$738,458.86",35114
Hollowness,263281,"$959,736.27",94697
Manley,401870,"$712,270.30",47006
Manstead,557840,"$1,116,894.57",78137
Sageburgh,608782,"$1,991,516.28",192437
Valenford,457132,"$1,184,511.01",74233
Elborough,648451,"$2,887,902.65",285675
Ashham,259037,"$830,601.30",65455
Weirstead,415119,"$1,693,240.35",155077
Lunabrough,277522,"$560,606.86",16981
Lawville,679722,"$1,977,659.81",180606
Belldol,818106,"$1,216,517.17",48773
Skillcaster,623621,"$2,149,447.73",198545
Bellpool,300630,"$712,811.83",64085
Auville,427772,"$1,233,675.50",91330
Winterburgh,332962,"$1,024,187.21",79090
Millwich,263013,"$991,328.19",110655
Millcaster,468508,"$1,797,546.84",182946
Redfield,521555,"$770,762.18",43118
Southburg,644291,"$1,812,375.71",134721
Bellwich,503759,"$1,921,471.05",173506
Weirhampton,404936,"$1,805,867.03",181960
Postwich,338319,"$1,283,920.12",122077
Castergrad,282784,"$651,030.46",45925
Julworth,395193,"$1,327,310.75",107595
Waterport,260846,"$956,243.08",87562
Lexingdale,283581,"$959,974.89",68152
Lexingbury,274485,"$446,559.05",17212
Fairport,363242,"$1,074,377.34",
Farmingview,395903,"$1,267,662.70",100359
Westport,316001,"$962,853.04",99683
Manstown,220376,"$763,783.30",61403
Bannport,251585,"$920,701.05",78135
Maybrough,184441,"$679,364.20",61602
Probrough,354402,"$1,049,252.99",92424
Northdale,423047,"$1,317,144.65",102323
Hoggrad,93676,"$302,305.14",25297
Auland,94240,"$400,058.80",39084
Rockcaster,354057,"$1,051,624.83",83634
Cloudby,201157,"$554,412.72",45294
Costsmouth,177063,"$376,830.93",24139
Lawborough,285944,"$788,564.27",68297
Kettleness,324214,"$687,943.49",36217
Bayport,491290,"$1,317,382.27",118134
Holtsworth,446563,"$1,663,404.07",159282
Beachness,354627,"$825,350.97",37894
Aupool,302893,"$597,280.50",26659
Lunham,446251,"$1,525,520.69",133545
Pinebrough,451324,"$1,184,261.10",71694
Greenland,244280,"$516,777.25",24392
Greengrad,599777,"$1,338,863.50",94384
Hamley,327281,"$495,625.91",19793
Julstead,181436,"$372,807.97",31675
Queensburg,401933,"$1,334,463.15",83090
Freeland,392480,"$1,400,141.37",122609
Queensgrad,227863,"$828,912.87",72527
Westworth,158716,"$572,540.76",63485
Mansley,576911,"$2,170,114.25",213067
Proton,146538,"$37,720.11",2
Bellley,336972,"$1,310,843.13",121026
Skillburgh,568203,"$1,299,797.95",84029
Fortgrad,122613,"$351,823.83",25713
Frostburgh,205221,"$559,764.88",27467
Hallbrough,830501,"$824,795.45",23904
Northgrad,840061,"$1,974,552.57",102639
Factdale,571995,"$1,338,064.32",77109
Parkbury,135014,"$487,568.30",48371
Cruxgrad,575675,"$1,715,430.84",144104
Capville,340357,"$961,273.78",71975
Hallhampton,587282,"$1,603,217.33",103027
Cruxport,603286,"$2,068,564.08",165755
Southingford,177898,"$640,111.65",61457
Starborough,556457,"$984,753.90",38411
Hardgrad,317900,"$1,111,880.52",106793
Pailgrad,333275,"$923,189.81",69074
Greenport,105009,"$176,139.90",7181
Massburgh,334372,"$608,455.34",33580
Bridgeport,443962,"$691,406.30",36913
Sageport,134919,"$532,851.18",54591
Norfield,299250,"$855,344.11",66910
Strongworth,212532,"$888,820.07",85617
Emermouth,562713,"$2,561,342.40",264911
Sweetland,445445,"$1,592,378.62",159939
Snowwich,366124,"$917,966.07",50502
Sandmouth,247929,"$754,806.83",59648
Westhampton,311406,"$1,106,647.87",105071
Griffingrad,414229,"$1,016,086.29",54483
Princedol,133940,"$559,844.77",64088
Lawtown,440755,"$1,018,854.00",61096
Winworth,390443,"$1,157,554.74",71360
Oakcaster,159815,"$652,492.74",78096
Faycaster,308936,"$779,012.88",40758
Winford,450244,"$1,031,249.61",61213
Bridgedale,75687,"$244,389.82",19892
Fortcaster,851160,"$2,095,364.29",139916
Roseport,80057,"$275,506.20",19139
Sugarworth,454777,"$1,493,382.17",131615
Sandbury,480643,"$1,744,775.53",117288
Summerbury,115778,"$274,176.44",13796
Dodgeley,785958,"$2,375,171.22",206360
Parkcaster,590552,"$1,703,849.44",128401
Bayworth,156664,"$229,135.04",7229
Southingdale,281297,"$1,118,214.17",107501
Mannorburgh,437876,"$1,392,388.73",112318
Medborough,570621,"$1,362,493.63",-65798
Beachton,752626,"$2,624,308.95",186556
Ashford,184241,"$608,975.90",58887
Elness,664761,"$2,206,907.34",160540
Beachhampton,124426,"$379,918.94",32405
Princeside,148233,"$528,036.65",56675
Chatport,681788,"$1,968,671.24",111600
Hosworth,165852,"$267,517.38",11356
Mayborough,87967,"$339,641.75",32433
Massbury,458700,"$1,142,300.36",70380
Hamhampton,279807,"$832,658.53",56930
Tallland,210483,"$692,926.35",66954
Holtsstead,391508,"$773,411.94",40399
Farmingley,115989,"$151,323.75",3760
Elmouth,146756,"$422,805.67",30406
Lunpool,588129,"$1,299,011.80",60355
Fairpool,212176,"$605,845.54",51845
Rockhampton,514379,"$1,705,749.88",154656
Mannorbrough,149065,"$421,779.62",26580
Angerworth,281966,"$672,756.47",51326
Banncester,632589,"$1,555,777.37",110157
Millbrough,362226,"$1,332,408.90",121001
Jameswich,425009,"$884,843.85",45273
Stonecester,88292,"$301,591.87",27014
Kettleland,201455,"$624,986.50",64073
Angerford,273266,"$813,560.54",48716
Westham,191816,"$347,579.26",15413
Middlewich,156888,"$599,878.51",59279
Duckview,391045,"$1,417,482.22",116967
Summerborough,111607,"$274,234.46",17711
Tallpool,249750,"$842,371.14",77858
Rosetown,372554,"$739,768.57",35188
Sandburg,513890,"$2,356,334.58",284010
Starwich,63073,"$187,987.12",15816
Casterland,263089,"$234,197.13",7190
Sweetdol,181445,"$500,737.58",36500
Griffinworth,681537,"$3,007,612.69",318481
Gilcaster,558097,"$1,561,956.54",112724
Lungrad,636024,"$1,382,953.23",92307
Casterwich,406548,"$1,161,033.96",97949
Gilview,140610,"$375,651.46",27527
Tallburg,52191,"$187,345.98",21042
Parkcester,347203,"$601,749.38",24306
Cruxton,311023,"$348,780.70",11429
Bannview,276046,"$583,134.71",28706
Winterby,654971,"$1,899,818.73",122236
Starcaster,303035,"$1,076,865.31",96614
Fishdale,293745,"$926,034.01",69138
Postfield,343195,"$955,044.43",56554
Eastworth,197329,"$444,011.98",28129
Fayside,514675,"$1,656,165.58",163320
Lunburg,404014,"$425,508.35",10838
Holtsham,289885,"$638,952.71",32787
Parkborough,340985,"$813,771.00",52210
Greenstead,442235,"$1,303,571.72",100202
Backdol,379722,"$1,177,277.87",99333
Fishbrough,453255,"$1,567,848.39",147501
Mansbury,389367,"$1,080,695.10",81332
Princebrough,158574,"$509,136.35",40267
Lunaford,291262,"$740,492.24",43558
Mannortown,62101,"$224,852.93",23929
Millgrad,276092,"$863,461.70",59978
Lunaport,122476,"$360,791.62",30458
Hollowmouth,291027,"$1,350,077.66",192742
Northness,263490,"$583,268.31",31266
Seastead,170321,"$394,240.66",19863
Sweetport,302223,"$1,088,566.57",97486
Cloudmouth,82518,"$344,899.23",35451
Waltwich,281362,"$1,189,742.59",155663
Riverdale,176151,"$566,260.85",46353
Saltborough,235961,"$825,211.25",54295
Southhampton,189106,"$676,526.50",68431
Capness,366320,"$1,120,468.20",97596
Angerburg,465921,"$1,474,813.86",100235
Fortside,521105,"$1,184,307.53",54533
Casterworth,328075,"$1,101,035.34",107819
Highside,378557,"$1,349,783.41",129117
Pineville,485553,"$967,719.26",61269
Angerhampton,203335,"$517,676.64",29378
Fairstead,298908,"$927,703.14",98551
Fishdol,447523,"$1,159,195.12",78900
Eastcester,537638,"$1,726,153.51",145860
Sageworth,512303,"$1,648,939.90",169271
Medview,101553,"$308,455.89",28669
Cloudstead,874262,"$2,086,428.42",142882
Fortpool,176435,"$693,103.64",62224
Middleham,251966,"$586,654.33",30818
Hollowdale,333943,"$1,027,611.62",87468
Mannormouth,175357,"$349,302.27",19232
Middleton,166306,"$548,009.71",48965
Middlestead,148063,"$353,937.78",26964
Hollowley,371311,"$1,363,217.53",132350
Cruxstead,315408,"$779,560.87",50086
Fauxby,397502,"$693,564.90",36394
Passdale,84473,"$270,977.14",22054
Applestead,"three hundred and nineteen thousand, eight hundred and one","$733,734.73",31092
Medby,661910,"$1,786,451.96",138291
Lundol,276418,"$444,225.08",19473
Winside,610287,"$807,948.31",23945
Jamesburgh,448992,"$1,188,305.19",85034
Chatpool,480633,"$1,485,325.87",106444
Springmouth,614798,"$1,887,526.19",142093
Parkburg,269548,"$866,130.03",67260
Winburg,277828,"$1,154,286.53",129235
Hostown,707874,"$1,842,050.32",131500
Jamesport,226333,"$749,983.42",54260
Lunaborough,156059,"$570,311.92",51737
Wintermouth,430883,"$1,075,471.17",57034
Duckgrad,507021,"$1,492,988.33",106912
Mancaster,120533,"$272,975.49",12334
Masspool,259124,"$667,632.32",46509
Tallcaster,528040,"$1,315,916.74",98919
Medpool,370102,-$1.00,81973
Northwich,432764,"$1,785,859.77",197736
Hollowfield,299651,"$498,256.02",26566
Queensby,227554,"$591,620.64",41646
Sugarfield,814591,"$2,780,379.76",306605
Seaside,392897,"$1,550,821.93",161202
Hardcester,293968,"$727,120.35",43682
Fortton,265256,"$968,107.78",98280
Massworth,319062,"$614,599.41",28036
Southingwich,187034,"$655,468.49",57000
Stoneborough,435532,"$1,904,769.32",228192
Cloudford,668377,"$2,468,089.36",261372
Aelhampton,29679,"$95,272.01",8594
Hogborough,366905,"$1,054,202.54",66071
Lunaham,212701,"$432,208.72",20213
Hogburg,793437,"$3,000,074.37",302463
Starford,31290,"$105,025.58",8466
Mannordale,256272,"$1,077,312.19",105324
Valenstead,294508,"$859,842.58",62057
Massdale,227495,"$630,903.17",57222
Factbrough,408890,"$991,467.26",59885
Mansdale,237015,"$819,476.13",68559
Kingwich,435660,"$2,078,357.62",251164
Fairwich,311716,"$1,022,702.85",98369
Sayworth,375703,"$1,059,428.22",55142
Proport,336075,"$867,922.03",59805
Riverburgh,334723,"$851,006.10",59307
Holtsfield,247614,"$845,622.63",71192
Fayland,244815,"$961,054.08",83840
Costsbrough,209925,"$748,152.56",68456
Backland,201473,"$270,591.68",6933
Weirland,192311,"$552,969.03",48358
Southingport,472939,"$904,978.02",51420
Middlecester,277991,"$764,348.61",52968
Sandpool,521084,"$1,997,027.01",224989
Ashdale,283297,"$1,094,525.64",96535
Holtspool,615869,"$1,763,683.33",145078
Dayland,415391,"$1,506,023.43",156322
Sugarstead,74767,"$196,914.66",12628
Costspool,356458,"$965,046.76",53177
Massfield,562095,"$2,073,482.19",188153
Chatmouth,456737,"$1,122,415.17",40850
Ashview,97945,"$289,991.91",20697
Bridgeford,767581,"$1,971,259.48",158002
Backley,500137,"$1,355,688.74",99431
Readingford,452154,"$776,048.20",43869
Redside,294705,"$944,964.49",71174
Stonecaster,620669,"$2,010,891.39",145061
Cloudcaster,102389,"$230,562.93",14504
Prodale,431711,"$1,760,219.47",142021
Duckworth,174673,"$468,558.96",27668
Greenview,345055,"$1,141,664.18",126407
Princeville,566721,"$1,533,184.15",117290
Lunaland,197767,"$735,841.30",70019
Meddol,438845,"$1,541,073.89",158475
Farmborough,244993,"$124,474.70",3148
Wingdol,182383,"$366,422.10",20939
Sandby,259717,"$366,818.14",18392
Fairfield,288703,"$975,614.60",70461
Richgrad,287632,"$852,229.94",72764
Frostby,428537,"$1,030,081.14",61042
Sealey,410320,"$1,385,186.97",147210
Norbury,306130,"$821,468.67",64102
Richview,216263,"$573,743.43",41220
Dodgeness,321926,"$1,318,983.62",152451
Fairside,408116,"$1,635,574.44",161813
Sweetness,294576,"$403,236.19",16839
Waltby,195761,"$540,975.59",34825
Massport,520744,"$1,401,323.86",116493
Lexingville,302452,"$1,116,682.70",98590
Hallford,447091,"$1,153,177.57",66469
Factcaster,120170,"$256,107.56",11639
Luntown,466069,"$723,975.89",40383
Holtshampton,323859,"$737,371.55",49934
Capside,207838,"$704,035.76",85321
Haptown,93843,"$277,205.50",17183
Lunmouth,233215,"$519,681.90",29440
Hardby,400880,"$768,094.45",49270
Mannordol,285078,"$1,025,037.11",80635
Fauxmouth,776582,"$2,159,134.88",139745
Snowport,193294,"$408,754.39",21889
Fauxfield,444656,"$1,270,685.72",97743
Postmouth,506580,"$1,946,361.50",167367
Gildale,555305,"$2,094,919.13",206113
Frosttown,257309,"$910,900.13",96143
Hogburgh,365292,"$1,328,459.11",131135
Lawstead,443867,"$1,201,922.59",99476
Auworth,283997,"$449,316.77",22469
Bridgehampton,408595,"$1,458,793.22",159974
Lexinggrad,701789,"$1,817,769.21",104015
Meltown,327647,"$741,565.15",40316
Farmmouth,402917,"$1,113,832.57",89903
Saltside,336595,"$557,180.74",30724
Kington,615252,"$1,860,682.47",103875
Gilworth,331870,"$1,185,758.43",115964
Casterdale,81637,"$240,383.68",15595
Queensworth,369416,"$1,130,378.80",99536
Eastford,465598,"$1,237,879.12",65906
Millton,314008,"$955,141.95",71995
Hollowham,452594,"$1,345,816.95",77498
Lexingburg,544585,"$1,615,991.24",126792
Highville,461606,"$1,638,711.55",163426
Skillport,292495,"$1,337,335.35",165341
Saltstead,184232,"$620,534.71",46393
Hogton,216491,"$418,279.73",18267
Appleley,194201,"$675,436.51",58138
Medburg,328463,"$779,210.05",65814
Richham,90574,"$244,132.66",13667
Millcester,378602,"$718,381.78",36287
Walttown,331518,"$1,034,538.96",91797
Kingburg,234126,"$965,491.70",108722
Bellburg,489987,"$1,569,189.92",109098
Summerville,169482,"$420,488.81",28166
Middlebrough,564337,"$1,674,454.01",130044
Lunview,457446,"$1,639,925.31",115268
Readingburg,493694,"$911,398.73",40066
Snowview,565316,"$1,975,603.72",153239
Medport,760232,"$2,897,137.68",236727
Rosehampton,204540,"$356,956.40",12318
Aubury,452146,"$844,348.04",40569
Hogtown,489305,"$862,260.70",23682
Lunworth,401199,"$1,118,067.64",82755
Sugarbrough,254998,"$695,785.27",52015
Dayburgh,749179,"$1,964,302.79",113911
Sugarmouth,490132,"$1,104,342.84",40551
Beachstead,415857,"$983,946.13",79298
Princewich,797552,"$1,726,175.29",138498
Ashworth,384205,"$1,513,095.38",164403
Angerpool,652229,"$1,826,925.88",146075
Julmouth,425786,"$1,497,525.16",140187
Angergrad,388525,"$1,410,693.28",125080
Freeley,678650,"$2,197,380.54",184190
Stardale,488873,"$1,392,550.39",97551
Springworth,342856,"$821,143.28",37924
Wheelborough,213179,"$571,834.98",35946
Redport,149454,"$501,698.46",40535
Beachville,164404,$2.00,39548
Southingtown,378164,"$1,172,175.75",120935
Fayford,142751,"$433,871.40",30682
Greenpool,360026,"$655,621.78",33375
Fauxpool,188753,"$531,438.60",37945
Aelby,483023,"$1,589,506.36",137421
Sugarborough,267180,"$909,477.94",76085
Hapstead,271547,"$737,207.77",59344
Gilside,284689,"$897,102.89",74847
Southingbrough,511793,"$874,695.87",17473
Mannorfield,814512,"$3,072,099.71",322346
Stonebrough,214547,"$429,571.14",20007
Farmingbury,118342,"$359,575.81",22580
Wheelcaster,388858,"$799,836.71",46984
Roseness,248805,"$801,784.67",47185
Southingburg,284315,"$918,499.82",72063
Princecester,20,"$526,260.60",41540
Cloudborough,178194,"$694,908.65",71437
Fauxside,630239,"$1,345,481.14",53851
Strongborough,223148,"$615,220.41",38155
Starbrough,288850,"$963,738.03",81959
Manton,621029,"$1,835,984.00",128376
Northley,257136,"$586,091.23",38278
Strongmouth,490874,"$547,513.03",5623
Redton,139454,"$522,588.98",51710
Beachburg,156008,"$460,496.87",38599
Frostworth,357293,"$1,406,789.21",148085
Fairworth,217994,"$739,487.88",60857
Duckcaster,800109,"$2,286,887.69",187541
Castermouth,189969,"$438,473.16",25607
Princefield,308549,"$697,130.32",41981
Fishfield,239771,"$894,070.26",88902
Chathampton,436315,"$1,350,268.45",109604
Wingborough,68587,"$263,333.66",28911
Farmland,202944,"$303,749.73",15192
Daytown,270684,"$892,068.60",73900
Kingborough,494183,"$1,563,838.84",130758
Applepool,176189,"$340,670.00",11386
Saltwich,238625,"$435,237.29",26280
Pailford,229359,"$778,417.24",63335
Parkford,362483,"$555,015.83",31042
Audale,312490,"$861,746.60",61224
Julford,57273,"$227,213.12",25078
Rosecester,243540,"$593,858.28",36357
Eastton,699899,"$1,924,533.07",155756
Mannorville,329630,"$832,461.98",43212
Middleland,203020,"$558,191.87",36879
Jamesgrad,454706,"$1,033,861.96",49433
Melby,604835,"$1,632,776.97",111052
Hallcester,205934,"$615,519.19",42557
Readingdale,279378,"$936,786.73",81154
Eastwich,294846,"$1,049,779.08",99174
Saltburgh,196493,"$551,638.68",29488
Postbury,643078,"$2,213,821.05",183539
Winness,129684,"$479,903.42",49672
Gilbury,154190,"$544,368.63",51136
Gilness,474517,"$1,800,587.26",150940
Cruxburgh,369028,"$781,625.81",45567
Freepool,343731,"$690,770.49",43110
Summerwich,179385,"$782,863.36",93703
Hollowcaster,193832,"$545,241.69",26723
Southby,501873,"$1,545,190.46",102212
Jameston,174691,"$615,731.45",58447
Hallborough,763253,"$2,129,233.05",162867
Rockpool,277343,"$932,167.05",92176
Frostdale,377887,"$1,263,812.38",83743
Appleview,219221,"$263,984.88",8224
Pinestead,245608,"$973,924.11",96785
Northburgh,220085,"$787,173.62",67629
Duckland,226612,"$712,443.67",68022
Passcester,207238,"$741,597.08",63269
Hapford,250232,"$828,773.85",74560
Valenbury,574597,"$2,101,759.52",184902
Waltton,1060313,"$3,857,036.64",420985
Sugarburgh,427969,"$1,463,786.15",116790
Farmingmouth,660039,"$2,739,678.86",274908
Hosborough,513398,"$1,896,024.24",180076
Waterville,762139,"$2,151,537.72",173493
Queensford,230913,"$801,784.73",66404
Masstown,417794,"$1,296,577.92",100978
Starby,197715,"$358,427.58",18306
Passview,312483,"$729,774.45",37062
Factness,601099,"$2,003,453.28",180186
Greendol,272558,"$346,828.86",16993
Talltown,356570,"$714,618.21",36471
Farmburgh,261812,"$1,158,567.65",151360
Beachworth,414969,"$1,006,044.51",65578
Sweetwich,280599,"$870,935.87",53511
Norcaster,327015,"$1,070,408.06",75773
Readingtown,72402,"$218,355.74",20072
Freeville,380428,"$838,167.72",46075
Weirview,1.00E+12,-$8.00,33995
Tallton,575787,"$2,022,778.16",182121
Pineton,82450,"$331,404.39",38898
Costsworth,590058,"$2,365,477.08",218427
Rockside,80644,"$265,965.04",19754
Baydale,207728,"$652,595.46",56567
Foxton,168429,"$392,575.64",21315
Millburgh,154564,"$536,478.51",45423
Masswich,573419,"$1,905,037.37",159475
Southingpool,211688,"$506,066.03",46303
Faywich,357897,"$1,137,782.62",85429
Westgrad,280373,"$850,896.02",49495
Auness,277093,"$740,283.68",56285
Backborough,345986,"$1,114,698.58",81831
Costsland,718790,"$3,462,693.33",475654
Hallmouth,256891,"$516,166.58",26839
Valenville,116831,"$363,099.60",25633
Waltland,400219,"$1,478,554.34",125552
Wheelgrad,189814,"$311,088.82",15152
Gilwich,372013,"$1,241,663.04",132131
Cruxside,314606,"$1,154,608.52",112526
Cruxhampton,180903,"$267,222.37",12420
Sagefield,419479,"$1,391,566.81",117458
Fairgrad,215847,"$503,785.84",34291
Massstead,397362,"$1,563,459.60",152245
Jamescaster,411885,"$973,663.71",41954
Waltfield,368713,"$1,202,089.61",85342
Fishstead,122532,"$322,294.00",24120
Casterview,314199,"$1,276,945.05",124503
Stonepool,216674,"$679,133.31",47687
Seafield,372915,"$1,335,872.93",131191
Westview,461195,"$1,216,378.04",85025
Ashborough,238225,"$778,965.13",57804
Meldol,260130,"$784,060.55",60692
Tallgrad,201774,"$490,187.30",29764
Rosecaster,255683,"$838,543.00",83767
Bannbury,601675,"$2,091,547.44",174332
Sandbrough,268689,"$465,301.61",21983
Melbury,170653,"$649,652.41",41800
Winggrad,291560,"$495,187.72",20485
Griffinborough,282617,"$1,130,395.14",98876
Proford,612887,"$2,520,736.72",264653
Foxgrad,247749,"$623,814.65",42738
Starness,289212,"$1,141,473.81",134880
Mayham,359617,"$877,890.38",45390
Mayville,180549,"$691,617.70",74469
Kingley,495401,"$2,565,809.35",333083
Manborough,570794,"$2,116,264.74",184514
Pailville,316386,"$839,722.26",50650
Bayside,476049,"$1,438,343.57",92846
Richwich,466445,"$750,242.29",44349
Emerley,220361,"$305,976.81",12647
Bayton,313899,"$779,592.86",68665
Audol,172931,"$496,325.12",42450
Mannorley,186608,"$762,778.30",56297
Farmingpool,144837,"$468,161.06",46525
Bridgeton,389708,"$1,297,059.63",121985
Millpool,429017,"$1,110,938.32",75284
Highdol,181344,"$499,840.09",38534
Elby,523674,"$2,105,664.07",212182
Stonedol,303086,"$738,521.92",48876
Richcaster,85491,"$248,887.50",20370
Richworth,305662,"$807,909.66",59423
Kingside,310838,"$698,632.05",35867
Waltgrad,562060,"$1,995,963.58",162315
Melness,186576,"$496,523.47",37004
