name,population,advertising,sales
Valenport,142536,"$555,203.55",50864
Belldol,52261,"$136,849.72",10253
Farmingmouth,270387,"$541,136.20",29666
Valenfield,121647,"$258,560.70",18936
Bayland,517458,"$1,897,862.84",168447
Valenpool,282997,"$591,545.23",40576
Greenford,414145,"$1,866,076.75",210572
Hogburg,419691,"$1,311,478.52",119895
Farmingville,592299,"$1,822,715.80",172537
Hamstead,157101,"$446,606.10",34961
Cloudstead,305853,"$692,929.47",48319
Aelby,342145,"$897,548.03",69492
Luntown,404390,"$1,619,536.26",166803
Parkdale,395579,"$1,407,171.31",136732
Bridgeland,718799,"$2,401,989.96",168606
Auford,156469,"$455,311.82",38984
Sageburgh,480159,"$1,034,763.97",57760
Hallbrough,544955,"$1,984,939.03",165210
Winterport,294027,"$497,843.94",26056
Princewich,116412,"$322,841.77",25144
Holtsborough,856298,"$3,402,220.28",367179
Cruxstead,200727,"$523,187.04",27752
Roseness,40185,"$102,048.36",5841
Stardol,403576,"$1,270,049.58",107790
Stonepool,246515,"$799,427.03",65206
Casterwich,182108,"$563,229.85",50833
Backness,173211,"$407,855.40",21108
Sugarcaster,295890,"$1,106,487.09",125846
Ashport,177089,"$522,622.88",37730
Snowbury,263238,"$796,457.25",71860
Bannville,223837,"$516,047.63",27826
Masspool,156978,"$548,936.79",58979
Mannorcester,726834,"$1,931,322.78",124124
Ashpool,378634,"$970,749.12",59522
Queensburgh,416508,"$1,318,368.93",98169
Saltbrough,215069,"$488,042.27",24414
Parkcester,321970,"$873,968.25",53553
Fauxmouth,329970,"$924,821.85",77859
Oakcester,174014,"$556,021.61",45281
Lawstead,37184,"$84,273.46",4990
Summerborough,310077,"$970,175.56",83534
Sweetness,295253,"$269,262.77",6121
Masshampton,188159,"$659,627.07",57993
Ashtown,148910,"$454,293.96",34568
Manhampton,460631,"$1,712,009.39",182206
Audale,342025,"$941,849.62",85273
Pineville,239094,"$790,492.50",74217
Pailville,547882,"$1,759,764.40",114492
Wheelbury,310302,"$872,416.92",73101
Norfield,470219,"$1,031,736.24",61561
Aumouth,590488,"$1,978,787.57",154818
Roseville,665062,"$1,904,512.56",180052
Cloudside,283850,"$1,089,001.22",108520
Lunness,59804,"$129,883.19",8985
Emerwich,403308,"$851,293.83",50027
Southingport,178763,"$424,487.33",34737
Stonebrough,625216,"$1,865,896.65",132160
Fayhampton,166200,"$505,617.93",40678
Dayley,296889,"$1,419,936.51",197231
Hogbrough,417814,"$1,202,998.61",71535
Wingville,104551,"$383,950.55",39259
Factcaster,340725,"$1,235,171.75",107253
Duckworth,815560,"$2,030,986.34",151824
Seaside,372020,"$1,047,414.61",74666
Wheelgrad,458590,"$1,524,448.25",119794
Jameswich,477687,"$1,801,326.94",160377
Medgrad,589123,"$2,278,242.77",264000
Millpool,361566,"$1,044,230.63",99300
Readingtown,91776,"$377,692.92",35379
Cloudborough,435245,"$1,056,019.26",58858
Auwich,166007,"$476,353.75",37898
Ashview,61275,"$123,883.36",6902
Beachville,337297,"-$761,877.36",36318
Princecaster,375795,"$1,224,052.85",73933
Redport,360144,"$1,051,283.91",87693
Factburg,283179,"$911,429.40",67023
Manley,448177,"$1,899,429.82",209444
Bellwich,134723,"$228,453.18",12266
Seaworth,785407,"$2,641,186.11",253371
Springworth,803741,"$2,550,713.31",204529
Proford,350296,"$956,155.00",79923
Mansbury,315539,"$1,085,292.49",99399
Aupool,388383,"$1,424,970.16",155284
Casterbrough,762025,"$2,819,714.72",280846
Rosecaster,686457,"$2,334,479.81",199579
Fairfield,355145,"$637,732.37",37781
Southingwich,604257,"$1,412,918.95",100419
Weirpool,684851,"$1,561,831.90",85004
Medburg,220380,"$523,541.73",38914
Greenborough,1043731,"$3,091,298.31",202804
Frostworth,308274,"$822,637.03",
Factgrad,140159,"$502,423.71",47740
Passview,511291,"$1,370,008.57",87869
Tallpool,411453,"$1,625,250.11",151353
Factland,275675,"$434,094.71",20846
Farmingview,99760,"$198,799.28",9235
Hogtown,168431,"$480,445.76",29519
Riverton,398035,"$985,066.66",67512
Winterburgh,506557,"$1,852,677.84",156485
Seastead,354792,"$787,725.61",41349
Strongmouth,86735,"$229,990.98",14686
Saltstead,247318,"$563,212.67",31605
Seawich,521645,"$1,285,146.90",90027
Fishby,623757,"$2,212,730.26",213593
Fortgrad,117065,"$373,616.50",33023
Medpool,501232,"$1,490,148.37",115561
Freefield,407518,"$1,538,917.95",152087
Massstead,309508,"$897,064.46",69755
Snowcester,424705,"$1,034,843.28",78125
Foxville,480089,"$1,074,135.36",42419
Auworth,184732,"$505,687.54",35857
Fishfield,182036,"$542,305.75",52872
Beachstead,339890,"$1,173,956.98",98537
Fauxburg,122894,"$245,509.26",11568
Lexinggrad,197688,"$623,350.60",51941
Fishham,276566,"$1,007,443.09",83213
Oakbrough,215022,"$711,587.06",53595
Springford,451691,"$1,248,745.70",87526
Rockside,335259,"$1,289,365.55",125053
Starby,78400,"$223,304.38",14547
Julstead,355055,"$1,426,165.64",165010
Southgrad,368310,"$1,085,649.35",80060
Beachburg,302560,"$565,244.33",35793
Kettleworth,234808,"$627,364.24",44900
Middlebrough,618802,"$1,388,533.02",82114
Oakcaster,515687,"$2,269,172.07",270780
Southingpool,114467,"$290,527.00",23358
Auhampton,439931,"$1,801,187.79",198319
Reddol,440630,"$1,189,446.99",76455
Norburg,121522,"$553,940.67",63545
Windol,296483,"$1,186,896.94",104262
Holtsview,183270,"$727,764.44",76535
Lawness,229538,"$561,596.30",34523
Westham,359251,"$985,972.95",74659
Redton,381878,"$1,374,742.91",115129
Manborough,485436,"$1,503,296.43",111554
Passburg,186058,"$317,161.00",12392
Dodgedol,525681,"$1,459,865.79",113230
Saypool,508061,"$2,154,181.01",227026
Gilmouth,307264,"$650,487.70",41434
Roseport,229744,"$597,826.84",28789
Fairside,541483,"$1,386,586.06",82124
Stoneness,185001,"$569,753.84",45250
Northdale,163991,"$662,184.35",72835
Massborough,332718,"$459,371.73",19865
Farmmouth,321627,"$1,164,033.02",111336
Saltburgh,195387,"$642,135.33",47763
Springburg,163093,"$381,419.13",18569
Fortley,604434,"$1,955,373.78",196197
Wingbrough,151983,"$411,291.91",36180
Hardtown,359952,"$387,062.31",9110
Casterworth,179107,"$452,310.65",37618
Aelhampton,345087,"$1,321,955.86",142386
Farmingpool,238339,"$467,168.66",20427
Griffinwich,75895,"$259,291.23",26345
Hamcester,322388,"$735,761.05",35021
Medborough,217359,"$745,975.90",64214
Baydol,221459,"$829,311.81",79447
Passcaster,267048,"$925,341.58",86092
,577346,"$1,943,350.82",165258
Lunview,734778,"$1,652,396.73",90292
Bridgeford,630667,"$1,569,217.55",107700
Hamhampton,734361,"$1,913,806.55",106681
Costsland,125699,"$542,105.40",60730
Saycester,508568,"$1,420,589.37",121530
Parkview,496771,"$1,317,302.12",80153
Gilfield,557550,"$1,284,369.19",64235
Meldol,175504,"$518,683.01",46201
Middleton,214476,"$587,173.77",34126
Bannbrough,52660,"$121,893.68",7275
Postfield,569896,"$1,302,149.06",75246
Reddale,460473,"$1,133,695.40",81861
Skillton,702766,"$2,352,566.30",218645
Haphampton,417113,"$711,737.29",34421
Winburgh,385735,"$1,546,303.76",151953
Mannorworth,326126,"$846,825.66",46733
Riverdale,258578,"$727,505.23",52977
Kettletown,425174,"$952,510.41",45436
Factley,440978,"$1,454,254.66",92721
Tallland,504878,"$1,467,594.43",124004
Melview,479351,"$1,427,793.84",96628
Middleview,"two hundred and five thousand, three hundred and eleven","$653,738.37",44749
Faycaster,167319,"$753,453.67",89312
Norborough,346079,"$1,253,792.35",136430
Waterville,142547,"$533,207.00",44555
Sandmouth,396448,"$993,869.83",59791
Hogley,145911,"$610,426.30",70768
Hollowtown,160827,-$2.00,30535
Queensby,538000,"$2,176,334.33",211738
Facthampton,590331,"$1,845,556.70",154574
Bridgeport,285404,"$846,261.33",66270
Northton,531174,"$1,361,793.07",99606
Strongworth,252612,"$1,236,831.18",157613
Millgrad,811402,"$2,919,260.87",257183
Richmouth,139006,"$260,279.49",13859
Weirport,382776,"$1,353,902.92",119751
Parkness,332145,"$524,642.04",21871
Northmouth,276815,"$1,071,250.13",122815
Kingdol,113896,"$103,611.76",3583
Bellley,573063,"$1,105,872.98",54560
Wingpool,192956,"$951,918.85",112536
Hapdol,430498,"$2,125,321.47",247931
Frostview,429078,"$1,568,660.27",178913
Lunaford,220623,"$744,232.15",67977
Starcaster,263259,"$882,311.35",74937
Daytown,947554,"$2,738,967.47",244306
Sweetport,380431,"$1,451,978.44",129557
Bellgrad,506427,"$1,044,594.58",36554
Hapfield,156287,"$477,979.40",43090
Castergrad,354620,"$701,773.59",35562
Holtscester,251509,"$372,194.10",9446
Eltown,237961,"$638,364.48",51137
Sugarland,490838,"$2,150,911.54",237336
Hoscester,596806,"$1,884,594.28",165941
Chattown,511365,"$2,399,100.86",271865
Valenwich,531572,"$1,084,456.86",53181
Proport,257577,"$864,181.28",-74193
Elborough,224103,"$693,743.72",52415
Fauxfield,279401,"$677,388.84",50211
Middlemouth,383214,"$1,496,144.36",148735
Lexingfield,374058,"$1,329,109.83",109095
Manville,377977,"$1,559,389.15",170137
Backfield,499743,"$1,542,899.37",128713
Greendol,276123,"$1,118,204.43",109742
Pineford,404979,"$1,393,232.58",89162
Richtown,593360,"$1,329,737.88",111454
Lawdol,491523,"$1,609,755.73",127802
Greenport,222884,"$516,586.35",25993
Skillham,326722,"$821,161.25",51090
Fishland,582889,"$2,685,860.33",313441
Fairworth,319535,"$904,582.65",78338
Sayworth,316264,"$1,023,306.58",84763
Princecester,222638,"$678,545.08",53603
Dayland,331076,"$1,164,982.74",99504
Auton,254054,"$713,680.66",45642
Postcaster,261325,"$374,328.18",17526
Queensgrad,128552,"$351,602.49",27687
Emerpool,350072,"$754,430.23",53209
Skillgrad,484781,"$1,564,070.50",141252
Southingford,342838,"$754,428.31",43124
Pinehampton,467065,"$1,066,118.90",63740
Milldale,76307,"$219,857.62",16481
Wheelburgh,261371,"$654,970.65",38952
Haptown,357086,"$1,117,942.84",89490
Fortness,660566,"$1,654,627.19",127160
Gilwich,379351,"$1,914,360.55",232039
Bellburg,519684,"$1,944,199.74",207057
Westdale,100010,"$254,668.16",16789
Casterview,308241,"$645,677.57",39123
Sugarbrough,235512,"$547,838.02",36739
Valenham,347004,"$1,093,937.84",71267
Northley,402964,"$949,145.80",49570
Mansworth,188508,"$757,728.37",82567
Chatton,595958,"$2,125,059.24",198722
Julbury,658847,"$1,412,485.38",67013
Redbrough,336876,"$843,493.38",58033
Pinemouth,500554,"$2,115,399.04",230039
Parkford,341662,"$1,040,708.56",69499
Elcester,239566,"$430,619.22",24417
Lexingbrough,64713,"$226,298.90",20552
Winpool,404661,"$1,541,756.63",124734
Sandtown,306123,"$890,191.03",71809
Waterbrough,452267,"$808,087.71",35484
Dodgeness,101164,"$407,054.97",41398
Backborough,732437,"$1,950,164.37",110556
Richcaster,97753,"$505,295.20",70542
Sweetland,778436,"$1,783,255.58",106329
Ashford,256333,"$860,116.91",77207
Hollowmouth,213569,"$415,839.41",23221
Lunham,423903,"$1,460,685.01",105798
Rockbury,171588,"$527,702.51",52851
Stonewich,453089,"$1,016,883.77",66750
Westport,497032,"$1,193,269.30",85968
Kingside,476835,"$1,931,706.28",227866
Dodgeburg,220877,"$874,111.60",102387
Lexingdale,335090,"$828,522.64",51804
Pineham,210234,"$761,117.50",72883
Holtsbrough,199963,"$738,774.39",68865
Skillport,555544,"$2,201,204.82",187764
Starwich,94381,"$260,470.07",20032
Saltwich,505550,"$1,099,023.17",62708
Jamesgrad,53411,"$167,866.12",11822
Sandstead,251445,"$754,076.77",5
Fauxpool,778982,"$2,787,693.68",250012
Passwich,254805,"$898,052.29",70190
Southdale,247259,"$1,163,471.36",140584
Sageside,707737,"$2,105,589.14",125426
Chatmouth,178092,"$486,345.23",33774
Weirstead,129627,"$330,966.57",21023
Kingley,424354,"$1,184,841.38",94992
Highley,558999,"$2,343,589.37",253742
Redland,523100,"$2,478,655.67",285612
Waltville,476516,"$1,006,359.37",52350
Backland,542171,"$2,033,820.82",189810
Lunaburg,263695,"$797,429.10",79331
Sugarworth,63147,"$110,647.92",6046
Cruxby,301958,"$767,313.00",32525
Melness,520279,"$1,164,077.72",88411
Waltgrad,106352,"$337,137.13",23357
Bannpool,207826,"$599,162.51",42387
Springdale,234775,"$586,300.63",28512
Lunaport,196887,"$910,223.51",111023
Tallburg,330198,"$860,890.63",64094
Hogstead,587404,"$2,555,191.78",306575
Fishstead,246220,"$739,487.29",59434
Melcaster,392297,"$1,444,192.14",132673
Daybrough,202422,"$231,884.06",5357
Mannorbrough,199490,"$543,674.34",41460
Queensworth,718822,"$2,189,712.07",177951
Millview,827433,"$2,497,521.32",241332
Highside,227818,"$730,089.69",64004
Stoneview,221800,"$816,245.11",92245
Fishdale,865471,"$2,699,892.82",196777
Southingdale,497100,"$1,662,859.67",132391
Hollowness,392717,"$1,634,075.53",184898
Skillpool,249864,"$655,327.59",50731
Westbrough,510144,"$1,391,755.44",79535
Saltside,442508,"$1,828,729.36",196391
Fayside,180370,"$592,268.31",61886
Pailford,238250,"$705,809.78",53407
Hardhampton,,"$415,238.83",9747
Greenland,382924,"$1,271,807.18",100980
Snowburg,444109,"$1,587,196.54",160051
Hardley,371048,"$1,694,523.72",183871
Rockville,279166,"$1,104,041.23",121563
Queensburg,361240,"$581,473.99",19890
Masswich,309255,"$652,641.59",30618
Massworth,464138,"$992,061.79",63134
Hogcaster,239415,"$774,838.21",69177
Lunburg,131740,"$464,139.75",47567
Auley,100615,"$358,266.70",36424
Chatport,642867,"$1,669,546.67",114493
Julbrough,120173,"$273,910.06",12407
Hoggrad,553982,"$1,978,200.62",191546
Kettleville,503595,"$1,259,765.19",77077
Costsstead,211355,"$719,180.84",58121
Bannview,248625,"$846,359.39",81776
Massdale,608201,"$2,194,405.22",213342
Elcaster,37861,"$105,174.91",6432
Valenford,232380,"$721,631.88",51372
Duckgrad,246258,"$663,963.73",46949
Auville,351894,"$700,275.52",35516
Winterpool,436854,"$1,405,483.77",106939
Rosehampton,894740,"$2,352,151.35",151778
Ashworth,252163,"$592,251.03",32942
Hallmouth,273901,"$813,291.47",69429
Factburgh,378921,"$1,256,893.61",104743
Prodale,282477,"$1,080,852.84",99585
Griffinworth,491999,"$1,172,482.11",75308
Lexingworth,551187,"$1,834,047.10",196986
Griffindol,350248,"$629,253.46",29202
Fauxdol,80036,"$294,461.34",31268
Holtsham,616205,"$2,260,393.78",187779
Costsview,413941,"$208,949.67",5984
Fayland,217386,"$804,880.82",73637
Holtsbury,281489,"$392,756.32",9526
Wingdol,350316,"$1,347,958.17",103759
Tallton,320414,"$1,064,963.49",85130
Sandham,165841,"$340,634.88",17107
Fayworth,158617,"$397,155.17",29382
Richworth,300366,"$732,353.49",43416
Rockdale,235036,"$626,414.78",45042
Winness,230995,-$1.00,93763
Postbury,371809,"$546,859.27",7038
Winburg,197005,"$794,234.00",70606
Wincaster,546636,"$1,728,197.16",141679
Mannormouth,292728,"$1,026,706.74",79419
Greenpool,284189,"$1,013,977.20",80830
Parkside,216709,"$623,845.36",47432
Southham,97653,"$385,439.73",39031
Casterland,828472,"$2,506,667.70",164057
Sayton,212491,"$687,161.22",57465
Gildale,306248,"$970,359.84",67150
Sandbrough,468739,"$1,701,712.71",170168
Sweethampton,437655,"$1,146,847.95",76098
Fauxport,205588,"$415,570.13",24359
Hollowfield,314857,"$486,277.02",18375
Bannness,155290,"$631,324.51",46941
Beachham,425308,"$1,222,903.38",73790
Hamley,284788,"$1,400,604.68",150993
Hollowcaster,283119,"$761,705.23",35815
Readingland,661814,"$2,304,264.72",171119
Auby,222645,"$822,207.10",88874
Eastside,365781,"$971,167.13",65912
Cruxhampton,403962,"$1,587,442.96",171852
Norbury,576903,"$1,294,654.22",80271
Masston,163525,"$478,479.05",31181
Jameston,244261,"$720,289.60",57740
Hogborough,134427,"$426,118.91",29473
Daycaster,121991,"$371,778.57",32459
Passdale,299910,"$1,096,695.11",96275
Sageport,327593,"$1,188,224.50",109805
Proton,347746,"$1,110,034.98",77019
Jamesport,291283,"$666,042.72",49303
Eastford,290328,"$1,144,526.23",118471
Angerpool,320122,"$895,266.23",69236
Melville,181913,"$561,303.63",44610
Fishhampton,111690,"$459,689.47",55918
Fairdol,381173,"$955,960.81",47634
Weirborough,429636,"$988,492.05",55082
Maybrough,246393,"$918,761.95",85822
Duckbrough,359676,"$943,831.20",58061
Hapstead,389214,"$1,131,820.44",71032
Ashside,21783,"$55,204.79",2922
Farmgrad,416172,"$1,087,763.27",69311
Dodgeley,640791,"$1,508,299.29",122262
Princeport,295685,"$732,013.90",34399
Baypool,665588,"$2,270,357.06",167245
Parkburg,490072,"$2,149,435.09",236095
Dayhampton,278210,"$1,161,910.66",122402
Norcaster,661529,"$2,842,289.52",308412
Hogcester,94206,"$338,134.99",31787
Mannorfield,217891,"$860,692.23",93102
Capville,340264,"$1,044,815.05",68287
Julford,686493,"$1,772,875.82",93539
Dayford,195169,"$424,851.12",25466
Starness,580775,"$2,081,613.71",193871
Faywich,293922,"$707,054.53",41816
Wheelford,538315,"$1,801,027.76",120687
Westworth,519951,"$1,912,585.07",162521
Summerland,263416,"$1,244,942.80",154253
Cruxgrad,908879,"$3,154,128.68",243368
Kingham,367784,"$1,027,931.28",76608
Waltburgh,1118287,"$3,516,184.45",248379
Probrough,433883,"$595,081.34",28528
Melfield,270120,"$904,666.44",83528
Angerford,227908,"$660,684.15",1.01E+13
Maywich,265111,"$408,851.74",13987
Rockwich,322010,"$967,842.45",77150
Pineton,214895,"$264,818.35",15638
Cruxport,199573,"$470,431.80",29522
Oakdale,273904,"$894,290.91",68965
Julley,333016,"$946,864.59",75963
Casterford,272475,"$795,352.34",49496
Cruxton,484717,"$1,417,957.38",112140
Highworth,240060,"$663,854.72",56906
Stoneborough,389776,"$1,460,402.81",126849
Proville,382979,"$666,060.76",37778
Tallhampton,294985,"$1,174,145.81",128012
Beachborough,590712,"$2,457,681.72",231586
Eaststead,111138,"$296,154.71",24434
Appleview,887182,"$1,968,052.93",69276
Mannorness,432462,"$1,933,535.80",202238
Kettleburgh,519722,"$1,136,912.54",61178
Winterley,208505,"$690,091.24",71766
Farmhampton,481568,"$1,330,527.49",86976
Millville,139525,"$559,578.46",62841
Sandville,302528,"$1,466,166.62",209841
Frostby,394103,"$524,321.20",17382
Hostown,654577,"$1,777,552.80",146235
Middlecester,815005,"$1,776,872.59",92257
Norcester,651320,"$2,598,132.31",243572
Melby,300404,"$1,123,797.07",117699
Chathampton,591871,"$1,553,906.70",103174
Southingley,413556,"$1,326,642.99",111827
Kettledale,545753,"$1,199,481.56",66581
Mansley,345835,"$845,377.98",51796
Factness,190118,"$665,595.66",60764
Fairville,317240,"$279,468.09",8239
Beachton,306073,"$1,030,554.61",89649
Mannordale,243705,"$538,518.51",27383
Lunpool,742076,"$3,506,219.84",452686
Fairwich,138459,"$382,830.51",30208
Rockgrad,3,"$300,219.07",15894
Westley,470948,"$1,201,675.50",78479
Sandpool,295343,"$1,021,334.69",90529
Auborough,552496,"$1,476,926.97",100405
Sugarborough,273209,"$884,009.50",54296
Duckfield,290568,"$918,924.30",78416
Ashham,149596,"$508,858.77",48115
Jamestown,361624,"$1,079,649.67",82957
Appleley,499495,"$1,280,825.66",71699
Waltwich,500573,"$1,237,583.32",90161
Rockhampton,588400,"$1,261,232.70",99313
Lexingburg,130541,"$200,638.72",8686
Appleburgh,217276,"$448,286.40",18637
Richgrad,309460,"$856,401.95",66843
Riverville,455401,"$1,035,732.07",59872
Weirland,277490,"$617,913.84",36056
Lawtown,555321,$1.00,138646
Passton,739152,"$3,050,407.16",367671
Beachhampton,278012,"$717,749.87",48485
Costsburgh,507984,"$2,007,187.12",161848
Winville,336828,"$484,007.70",21246
Fauxness,181269,"$546,685.19",43847
Cloudton,247988,"$679,372.28",39940
Ashdale,209998,"$699,469.90",60014
Tallham,451212,"$1,280,230.89",95995
Waterport,278514,"$900,213.29",89380
Gilside,136448,"$368,138.97",29434
Angerworth,463523,"$1,768,133.89",182715
Southingfield,417673,"$713,924.63",40981
Summerworth,429090,"$1,044,471.06",67258
Hardside,314088,"$1,111,911.03",89376
Skillley,112150,"$275,620.67",15648
Lunaham,118520,"$383,800.60",25545
Princeburgh,284867,"$842,301.67",64638
Medhampton,190972,"$226,761.93",5801
Wintermouth,143710,"$296,747.15",17324
Emermouth,218853,"$587,549.26",38556
Mannorburgh,394062,"$1,486,018.47",165477
Griffingrad,676634,"$1,252,257.11",61324
Hollowview,478059,"$1,578,773.92",145253
Parkwich,362698,"$1,205,054.92",108562
Kingview,228201,"$757,359.87",62613
Duckview,295318,"$990,255.15",77916
Snowmouth,93661,"$233,066.91",11226
Sweetby,218224,"$526,227.58",33811
Kingmouth,479893,"$1,386,735.83",109462
Beachcaster,212507,"$912,480.08",95052
Kettleland,516079,"$2,095,321.55",228389
Hapford,568133,"$1,879,975.31",157797
Massfield,215780,"$679,976.94",57494
Julcaster,111403,"$362,725.92",34451
Augrad,248485,"$691,787.35",49213
Angerham,536559,"$2,143,550.99",191083
Highside,227818,"$730,089.69",64004
Parkbury,134624,"$302,089.14",13874
Weirham,211048,"$652,445.76",56885
Manstown,121389,"$470,634.80",49959
Mayham,362292,"$1,077,697.40",82092
Hogburgh,373084,"$1,785,373.06",210076
Winterby,158335,"$255,435.61",7030
Costsworth,119051,"$407,415.80",36564
Northburgh,105006,"$138,869.59",4703
Hardby,145366,"$544,392.78",49691
Sweetton,464199,"$1,491,323.74",144292
Bayton,495000,"$1,788,620.17",194493
Middlestead,231347,"$542,289.95",40082
Weirhampton,87625,"$239,838.46",13481
Cloudby,348530,"$696,605.95",26178
Lexington,248262,"$734,721.83",80212
Dayburgh,286504,"$896,006.44",69587
Duckcaster,759298,"$2,174,493.97",177722
Cloudcaster,306908,"$796,126.20",49942
Aeldol,63035,"$223,719.17",20241
Hallgrad,489139,"$1,420,533.70",79753
Fishford,67373,"$356,520.67",49730
Greenstead,555657,"$2,230,874.19",281117
Lungrad,1023446,"$3,594,918.67",350696
Riverburgh,95709,"$409,683.97",39896
Saytown,366567,"$873,658.59",58513
Elby,316736,"$731,602.98",54947
Manton,260300,"$788,628.24",70923
Strongland,255076,"$808,719.34",78981
Southingcaster,371457,"$300,020.60",4561
Applepool,218939,"$893,980.17",86137
Holtspool,229381,"$736,369.23",51565
Capport,715629,"$2,567,253.27",196341
Fauxby,163972,"$474,479.66",36390
Highville,391249,"$1,405,172.22",117234
Fairstead,93255,"$248,305.92",14417
Banncaster,292165,"$651,927.57",65939
Strongborough,582279,"$1,786,796.59",157600
Sugarmouth,340324,"$969,635.13",74148
Waterbury,320418,"$1,072,777.89",98785
Talltown,140563,"$501,898.50",41322
Roseview,573323,"$1,430,663.00",97006
Baydale,328633,"$714,940.23",56445
Hogton,194178,"$391,792.43",13544
Holtshampton,416538,"$1,403,985.55",109231
Waterness,235624,"$755,410.30",58277
Southfield,430518,"$1,128,989.94",72508
Princedol,232068,"$848,608.93",81972
Fayview,163372,"$350,210.06",16396
Masstown,302909,"$599,341.35",32106
Skillcaster,146379,"$497,001.35",48390
Pailgrad,404222,"$1,262,519.93",102393
Queenscester,442692,"$1,353,941.04",117652
Bellcaster,540353,"$1,881,354.22",156827
Massport,386202,"$1,049,633.01",76513
Halldol,76282,"$364,891.99",38108
Bayworth,180083,"$619,119.09",67856
Lunby,472922,"$1,240,482.38",58440
Hollowburgh,350063,"$1,048,017.83",94034
Duckham,731358,"$2,329,424.83",209795
Readingburg,460603,"$2,234,977.22",285019
Princemouth,348962,"$879,104.62",51861
Ashland,57997,"$233,522.04",21721
Prostead,371564,"$968,092.46",59402
Backford,495415,"$1,539,654.19",117587
Bannport,425455,"$1,223,546.58",86034
Lunmouth,330612,"$980,329.07",64840
Farmingley,245501,"$607,067.73",32953
Backgrad,23258,"$89,127.16",8646
Waltby,599265,"$1,491,283.91",62895
Southingmouth,418542,"$1,459,533.77",127856
Mayville,350924,"$1,148,642.92",106497
Hallborough,308205,"$704,449.50",41863
Farmingbury,174624,"$191,607.21",7943
Strongness,257662,"$402,139.82",14518
Northness,610346,"$3,056,768.15",401485
Julfield,515323,"$895,699.35",23841
Proview,727745,"$1,804,905.90",110882
Medby,171506,"$346,520.36",13985
Valenton,397032,"$1,606,595.85",162792
Hapton,175271,"$653,094.10",56375
Wingstead,491963,"$1,860,445.63",177988
Summerville,344331,"$627,147.71",26149
Saltmouth,327089,"$1,192,979.83",107590
Sandby,376705,"$1,000,695.22",65353
Freeland,223783,"$691,971.78",58948
